"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","盛岡","Morioka",,,,,
"02","上盛岡","Kami-Morioka",,,,,
"03","山岸","Yamagishi",,,,,
"04","上米内","Kami-Yonai",,,,,
"05","大志田","Oshida",,,,,
"06","浅岸","Asagishi",,,,,
"07","区界","Kuzakai",,,,,
"08","松草","Matsukusa",,,,,
"09","平津戸","Hiratsuto",,,,,
"0a","川内","Kawauchi",,,,,
"0b","箱石","Hakoishi",,,,,
"0c","陸中川井","Rikuchu-Kawai",,,,,
"0d","腹帯","Haratai",,,,,
"0e","茂市","Moichi",,,,,
"0f","蟇目","Hikime",,,,,
"0g","花原市","Kebaraichi",,,,,
"0h","千徳","Sentoku",,,,,
"0i","宮古","Miyako",,,,,
