"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","八戸","Hachinohe",,,,,
"02","長苗代","Naganawashiro",,,,,
"03","本八戸","Hon-Hachinohe",,,,,
"04","小中野","Konakano",,,,,
"05","陸奥湊","Mutsu-Minato",,,,,
"06","白銀","Shirogane",,,,,
"07","鮫","Same",,,,,
"08","陸奥白浜","Mutsu-Shirahama",,,,,
"09","種差海岸","Tanesashi-Kaigan",,,,,
"0a","大久喜","Okuki",,,,,
"0b","金浜","Kanehama",,,,,
"0c","大蛇","Oja",,,,,
"0d","階上","Hashikami",,,,,
"0e","角の浜","Kadonohama",,,,,
"0f","平内","Hiranai",,,,,
"0g","種市","Taneichi",,,,,
"0h","玉川","Tamagawa",,,,,
"0i","宿戸","Shukunohe",,,,,
"0j","陸中八木","Rikuchu-Yagi",,,,,
"0k","有家","Uge",,,,,
"0l","陸中中野","Rikuchu-Nakano",,,,,
"0m","侍浜","Samuraihama",,,,,
"0n","陸中夏井","Rikuchu-Natsui",,,,,
"0o","久慈","Kuji",,,,,
