"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","米沢","Yonezawa",,,,,
"02","南米沢","Minami-Yonezawa",,,,,
"03","西米沢","Nishi-Yonezawa",,,,,
"04","成島","Narushima",,,,,
"05","中郡","Chugun",,,,,
"06","羽前小松","Uzen-Komatsu",,,,,
"07","犬川","Inukawa",,,,,
"08","今泉","Imaizumi",,,,,
"09","萩生","Hagyu",,,,,
"0a","羽前椿","Uzen-Tsubaki",,,,,
"0b","手ノ子","Tenoko",,,,,
"0c","羽前沼沢","Uzen-Numazawa",,,,,
"0d","伊佐領","Isaryo",,,,,
"0e","羽前松岡","Uzen-Matsuoka",,,,,
"0f","小国","Oguni",,,,,
"0g","越後金丸","Echigo-Kanamaru",,,,,
"0h","越後片貝","Echigo-Katakai",,,,,
"0i","越後下関","Echigo-Shimoseki",,,,,
"0j","越後大島","Echigo-Oshima",,,,,
"0k","坂町","Sakamachi",,,,,
