"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","新潟","Niigata","0","","","ja40470",""
"02","東新潟","Higashi-Niigata","5","","","ja96252",""
"03","大形","Ogata","7","","","ja96248",""
"04","新崎","Niizaki","9.6","","","ja96249",""
"05","早通","Hayadori","11.5","","","ja100904",""
"06","豊栄","Toyosaka","15","","","ja96577",""
"07","黒山","Kuroyama","18","","","ja100902",""
"08","佐々木","Sasaki","21","","","ja98541",""
"09","西新発田","Nishi-Shibata","24.3","","","ja100887",""
"0a","新発田","Shibata","27.3","","","ja98533",""
