"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","蘇我","Soga",,,,,
"02","浜野","Hamano",,,,,
"03","八幡宿","Yawatajuku",,,,,
"04","五井","Goi",,,,,
"05","姉ケ崎","Anegasaki",,,,,
"06","長浦","Nagaura",,,,,
"07","袖ケ浦","Sodegaura",,,,,
"08","巌根","Iwane",,,,,
"09","木更津","Kisarazu",,,,,
"0a","君津","Kimitsu",,,,,
"0b","青堀","Aohori",,,,,
"0c","大貫","Onuki",,,,,
"0d","佐貫町","Sanukimachi",,,,,
"0e","上総湊","Kazusa-Minato",,,,,
"0f","竹岡","Takeoka",,,,,
"0g","浜金谷","Hamakanaya",,,,,
"0h","保田","Hota",,,,,
"0i","安房勝山","Awa-Katsuyama",,,,,
"0j","岩井","Iwai",,,,,
"0k","富浦","Tomiura",,,,,
"0l","那古船形","Nako-Funakata",,,,,
"0m","館山","Tateyama",,,,,
"0n","九重","Kokonoe",,,,,
"0o","千倉","Chikura",,,,,
"0p","千歳","Chitose",,,,,
"0q","南三原","Minamihara",,,,,
"0r","和田浦","Wadaura",,,,,
"0s","江見","Emi",,,,,
"0t","太海","Futomi",,,,,
"0u","安房鴨川","Awa-Kamogawa",,,,,
