"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","木更津","Kisarazu","0","","","ja101287",""
"02","祇園","Gion","2.6","","","ja101550",""
"03","上総清川","Kazusa-Kiyokawa","4.2","","","ja163202",""
"04","東清川","Higashi-Kiyokawa","6.1","","","ja97119",""
"05","横田","Yokota","9.3","","","ja163200",""
"06","東横田","Higashi-Yokota","10.8","","","ja97678",""
"07","馬来田","Makuta","13.9","","","ja197706",""
"08","下郡","Shimogori","15.2","","","ja196902",""
"09","小櫃","Obitsu","18.2","","","ja197710",""
"0a","俵田","Tawarada","20","","","ja197711",""
"0b","久留里","Kururi","22.6","","","ja197366",""
"0c","平山","Hirayama","25.7","","","ja99356",""
"0d","上総松丘","Kazusa-Matsuoka","28.3","","","ja163199",""
"0e","上総亀山","Kazusa-Kameyama","32.2","","","ja153197",""
