"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","東海道本線","Tokaido Main Line",,,,,
"02","東海道本線 (品鶴線)","Tokaido Main Line (Hinkaku Line)",,,,,
"03","東海道本線 (貨物線)","Tokaido Main Line (Freight Line)",,,,,
"04","山手線","Yamanote Line",,,,,
"05","赤羽線","Saikyo Line",,,,,
"06","南武線","Nambu Line",,,,,
"07","南武線 (支線)","Nambu Line (Branch)",,,,,
"08","鶴見線","Tsurumi Line",,,,,
"09","鶴見線 (大川支線)","Tsurumi Line (Okawa Branch)",,,,,
"0a","鶴見線 (海芝浦支線)","Tsurumi Line (Umi-Shibaura Branch)",,,,,
"0b","武蔵野線","Musashino Line",,,,,
"0c","横浜線","Yokohama Line",,,,,
"0d","根岸線","Negishi Line",,,,,
"0e","横須賀線","Yokosuka Line",,,,,
"0f","相模線","Sagami Line",,,,,
"0g","伊東線","Ito Line",,,,,
"0h","中央本線","Chuo Main Line",,,,,
"0i","中央本線 (神田 - 代々木)","Chuo Main Line (Kanda - Yoyogi)",,,,,
"0j","中央本線 (辰野経由)","Chuo Main Line (via Tatsuno)",,,,,
"0k","青梅線","Ome Line",,,,,
"0l","五日市線","Itsukaichi Line",,,,,
"0m","八高線","Hachiko Line",,,,,
"0n","小海線","Koumi Line",,,,,
"0o","篠ノ井線","Shinonoi Line",,,,,
"0p","大糸線","Oito Line",,,,,
"0q","東北本線 (東京 - 盛岡)","Tohoku Main Line (Tokyo - Morioka)",,,,,
"0r","東北本線 (尾久経由)","Tohoku Main Line (via Oku)",,,,,
"0s","東北本線 (埼京線)","Tohoku Main Line (Saikyo Line)",,,,,
"0t","東北本線 (利府支線)","Tohoku Main Line (Rifu Branch)",,,,,
"0u","東北本線 (仙石東北ライン)","Tohoku Main Line (Senseki Tohoku Line)",,,,,
"0v","東北新幹線","Tohoku Shinkansen",,,,,
"0w","常磐線","Joban Line",,,,,
"0x","水郡線","Suigun Line",,,,,
"0y","水郡線 (支線)","Suigun Line (Branch)",,,,,
"0z","川越線","Kawagoe Line",,,,,
"10","高崎線","Takasaki Line",,,,,
"11","上越線","Joetsu Shinkansen",,,,,
"12","上越線 (越後湯沢 - ガーラ湯沢)","Joetsu Line (Echigo-Yuzawa - GALA Yuzawa)",,,,,
"13","上越新幹線","Joetsu Shinkansen",,,,,
"14","吾妻線","Agatsuma Line",,,,,
"15","両毛線","Ryomo Line",,,,,
"16","水戸線","Mito Line",,,,,
"17","日光線","Nikko Line",,,,,
"18","烏山線","Karasuyama Line",,,,,
"19","仙山線","Senzan Line",,,,,
"1a","仙石線","Senseki Line",,,,,
"1b","石巻線","Senseki Line",,,,,
"1c","気仙沼線","Kesennuma Line",,,,,
"1d","大船渡線","Ofunato Line",,,,,
"1e","北上線","Kitakami Line",,,,,
"1f","釜石線","Kamaishi Line",,,,,
"1g","田沢湖線","Tazawako Line",,,,,
"1h","山田線","Yamada Line",,,,,
"1i","花輪線","Hanawa Line",,,,,
"1j","八戸線","Hachinohe Line",,,,,
"1k","大湊線","Ominato Line",,,,,
"1l","磐越東線","Ban'etsu East Line",,,,,
"1m","磐越西線","Ban'etsu West Line",,,,,
"1n","只見線","Tadami Line",,,,,
"1o","奥羽本線","Ou Main Line",,,,,
"1p","米坂線","Yonesaka Line",,,,,
"1q","左沢線","Aterazawa Line",,,,,
"1r","男鹿線","Oga Line",,,,,
"1s","五能線","Gono Line",,,,,
"1t","津軽線","Tsugaru Line",,,,,
"1u","羽越本線","Uetsu Main Line",,,,,
"1v","白新線","Hakushin Line",,,,,
"1w","陸羽東線","Rikuu East Line",,,,,
"1x","陸羽西線","Rikuu West Line",,,,,
"1y","信越本線 (高崎 - 横川)","Shin'etsu Main Line (Takasaki - Yokokawa)",,,,,
"1z","信越本線 (篠ノ井 - 長野)","Shin'etsu Main Line (Shinonoi - Nagano)",,,,,
"20","信越本線 (直江津 - 新潟)","Shin'etsu Main Line (Naoetsu - Niigata)",,,,,
"21","北陸新幹線","Hokuriku Shinkansen",,,,,
"22","飯山線","Iiyama Line",,,,,
"23","越後線","Echigo Line",,,,,
"24","弥彦線","Yahiko Line",,,,,
"25","総武本線","Sobu Main Line",,,,,
"26","総武本線 (御茶ノ水 - 錦糸町)","Sobu Main Line (Ochanomizu - Kinshicho)",,,,,
"27","京葉線 (東京 - 蘇我)","Keiyo Line (Tokyo - Soga)",,,,,
"28","京葉線 (市川塩浜 - 西船橋)","Keiyo Line (Ichikawashiohama - Nishi-Funabashi)",,,,,
"29","京葉線 (西船橋 - 南船橋)","Keiyo Line (Nishi-Funabashi - Minami-Funabashi)",,,,,
"2a","外房線","Sotobo Line",,,,,
"2b","内房線","Uchibo Line",,,,,
"2c","成田線","Narita Line",,,,,
"2d","成田線 (我孫子支線)","Narita Line (Abiko Branch)",,,,,
"2e","成田線 (空港支線)","Narita Line (Airport Branch)",,,,,
"2f","鹿島線","Kashima Line",,,,,
"2g","久留里線","Kururi Line",,,,,
"2h","東金線","Togane Line",,,,,
