"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","米原","Maibara",,,,,
"02","彦根","Hikone",,,,,
"03","南彦根","Minami-Hikone",,,,,
"04","河瀬","Kawase",,,,,
"05","稲枝","Inae",,,,,
"06","能登川","Notogawa",,,,,
"07","安土","Azuchi",,,,,
"08","近江八幡","Omi-Hachiman",,,,,
"09","篠原","Shinohara",,,,,
"0a","野洲","Yasu",,,,,
"0b","守山","Moriyama",,,,,
"0c","栗東","Ritto",,,,,
"0d","草津","Kusatsu",,,,,
"0e","南草津","Minami-Kusatsu",,,,,
"0f","瀬田","Seta",,,,,
"0g","石山","Ishiyama",,,,,
"0h","膳所","Zeze",,,,,
"0i","大津","Otsu",,,,,
"0j","山科","Yamashina",,,,,
"0k","京都","Kyoto",,,,,
"0l","西大路","Nishioji",,,,,
"0m","桂川","Katsuragawa",,,,,
"0n","向日町","Mukomachi",,,,,
"0o","長岡京","Nagaokakyo",,,,,
"0p","山崎","Yamazaki",,,,,
"0q","島本","Shimamoto",,,,,
"0r","高槻","Takatsuki",,,,,
"0s","摂津富田","Settsu-Tonda",,,,,
"0t","JR総持寺","JR-Sojiji[1]",,,,,
"0u","茨木","Ibaraki",,,,,
"0v","千里丘","Senrioka",,,,,
"0w","岸辺","Kishibe",,,,,
"0x","吹田","Suita",,,,,
"0y","東淀川","Higashi-Yodogawa",,,,,
"0z","新大阪","Shin-Osaka",,,,,
"10","大阪","Osaka",,,,,
"11","塚本","Tsukamoto",,,,,
"12","尼崎","Amagasaki",,,,,
"13","立花","Tachibana",,,,,
"14","甲子園口","Koshienguchi",,,,,
"15","西宮","Nishinomiya",,,,,
"16","さくら夙川","Sakura Shukugawa",,,,,
"17","芦屋","Ashiya",,,,,
"18","甲南山手","Konan-Yamate",,,,,
"19","摂津本山","Settsu-Motoyama",,,,,
"1a","住吉","Sumiyoshi",,,,,
"1b","六甲道","Rokkomichi",,,,,
"1c","摩耶","Maya",,,,,
"1d","灘","Nada",,,,,
"1e","三ノ宮","Sannomiya",,,,,
"1f","元町","Motomachi",,,,,
"1g","神戸","Kobe",,,,,
