"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","新大阪","Shin-Osaka","0","","","ja4134",""
"02","新神戸","Shin-Kobe","32.6","","","ja36404",""
"03","西明石","Nishi-Akashi","54.8","","","ja36416",""
"04","姫路","Himeji","85.9","","","ja22785",""
"05","相生","Aioi","105.9","","","ja21686",""
"06","岡山","Okayama","160.9","","","ja21517",""
"07","新倉敷","Shin-Kurashiki","186.7","","","ja21757",""
"08","福山","Fukuyama","217.7","","","ja21503",""
"09","新尾道","Shin-Onomichi","235.1","","","ja24107",""
"0a","三原","Mihara","245.6","","","ja21758",""
"0b","東広島","Higashi-Hiroshima","276.5","","","ja24106",""
"0c","広島","Hiroshima","305.8","","","ja21756",""
"0d","新岩国","Shin-Iwakuni","350","","","ja22066",""
"0e","徳山","Tokuyama","388.1","","","ja21754",""
"0f","新山口","Shin-Yamaguchi","429.2","","","ja1206145",""
"0g","厚狭","Asa","453.3","","","ja22065",""
"0h","新下関","Shin-Shimonoseki","477.1","","","ja21840",""
"0i","小倉","Kokura","497.8","","","ja36790",""
"0j","博多","Hakata","553.7","","","ja1557714",""
