"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","姫路","Himeji",,,,,
"02","播磨高岡","Harima-Takaoka",,,,,
"03","余部","Yobe",,,,,
"04","太市","Oichi",,,,,
"05","本竜野","Hon-Tatsuno",,,,,
"06","東觜崎","Higashi-Hashisaki",,,,,
"07","播磨新宮","Harima-Shingu",,,,,
"08","千本","Sembon",,,,,
"09","西栗栖","Nishi-Kurisu",,,,,
"0a","三日月","Mikazuki",,,,,
"0b","播磨徳久","Harima-Tokusa",,,,,
"0c","佐用","Sayo",,,,,
"0d","上月","Kozuki",,,,,
"0e","美作土居","Mimasaka-Doi",,,,,
"0f","美作江見","Mimasaka-Emi",,,,,
"0g","楢原","Narahara",,,,,
"0h","林野","Hayashino",,,,,
"0i","勝間田","Katsumada",,,,,
"0j","西勝間田","Nishi-Katsumada",,,,,
"0k","美作大崎","Mimasaka-Osaki",,,,,
"0l","東津山","Higashi-Tsuyama",,,,,
"0m","津山","Tsuyama",,,,,
"0n","院庄","Innosho",,,,,
"0o","美作千代","Mimasaka-Sendai",,,,,
"0p","坪井","Tsuboi",,,,,
"0q","美作追分","Mimasaka-Oiwake",,,,,
"0r","美作落合","Mimasaka-Ochiai",,,,,
"0s","古見","Komi",,,,,
"0t","久世","Kuse",,,,,
"0u","中国勝山","Chugoku-Katsuyama",,,,,
"0v","月田","Tsukida",,,,,
"0w","富原","Tomihara",,,,,
"0x","刑部","Osakabe",,,,,
"0y","丹治部","Tajibe",,,,,
"0z","岩山","Iwayama",,,,,
"10","新見","Niimi",,,,,
