"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","倉敷","Kurashiki",,,,,
"02","清音","Kiyone",,,,,
"03","総社","Soja",,,,,
"04","豪渓","Gokei",,,,,
"05","日羽","Hiwa",,,,,
"06","美袋","Minagi",,,,,
"07","備中広瀬","Bitchu-Hirose",,,,,
"08","備中高梁","Bitchu-Takahashi",,,,,
"09","木野山","Kinoyama",,,,,
"0a","備中川面","Bitchu-Kawamo",,,,,
"0b","方谷","Hokoku",,,,,
"0c","井倉","Ikura",,,,,
"0d","石蟹","Ishiga",,,,,
"0e","新見","Niimi",,,,,
"0f","布原","Nunohara",,,,,
"0g","備中神代","Bitchu-Kojiro",,,,,
"0h","足立","Ashidachi",,,,,
"0i","新郷","Niizato",,,,,
"0j","上石見","Kami-Iwami",,,,,
"0k","生山","Shoyama",,,,,
"0l","上菅","Kamisuge",,,,,
"0m","黒坂","Kurosaka",,,,,
"0n","根雨","Neu",,,,,
"0o","武庫","Muko",,,,,
"0p","江尾","Ebi",,,,,
"0q","伯耆溝口","Hoki-Mizoguchi",,,,,
"0r","岸本","Kishimoto",,,,,
"0s","伯耆大山","Hoki-Daisen",,,,,
