"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","備中神代","Bitchu Kojiro",,,,,
"02","坂根","Sakane",,,,,
"03","市岡","Ichioka",,,,,
"04","矢神","Yagami",,,,,
"05","野馳","Nochi",,,,,
"06","東城","Tojo",,,,,
"07","備後八幡","Bingo Yawata",,,,,
"08","内名","Uchina",,,,,
"09","小奴可","Onuka",,,,,
"0a","道後山","Dogoyama",,,,,
"0b","備後落合","Bingo Ochiai",,,,,
"0c","比婆山","Hibayama",,,,,
"0d","備後西城","Bingo Saijo",,,,,
"0e","平子","Hirako",,,,,
"0f","高","Taka",,,,,
"0g","備後庄原","Bingo Shobara",,,,,
"0h","備後三日市","Bingo Mikkaichi",,,,,
"0i","七塚","Nanatsuka",,,,,
"0j","山ノ内","Yamanouchi",,,,,
"0k","下和知","Shimowachi",,,,,
"0l","塩町","Shiomachi",,,,,
"0m","神杉","Kamisugi",,,,,
"0n","八次","Yatsugi",,,,,
"0o","三次","Miyoshi",,,,,
"0p","西三次","Nishi Miyoshi",,,,,
"0q","志和地","Shiwachi",,,,,
"0r","上川立","Kamikawatachi",,,,,
"0s","甲立","Kotachi",,,,,
"0t","吉田口","Yoshidaguchi",,,,,
"0u","向原","Mukaihara",,,,,
"0v","井原市","Ibaraichi",,,,,
"0w","志和口","Shiwaguchi",,,,,
"0x","上三田","Kamimita",,,,,
"0y","中三田","Nakamita",,,,,
"0z","白木山","Shirakiyama",,,,,
"10","狩留家","Karuga",,,,,
"11","上深川","Kamifukawa",,,,,
"12","中深川","Nakafukawa",,,,,
"13","下深川","Shimofukawa",,,,,
"14","玖村","Kumura",,,,,
"15","安芸矢口","Akiyaguchi",,,,,
"16","戸坂","Hesaka",,,,,
"17","矢賀","Yaga",,,,,
"18","広島","Hiroshima",,,,,
