"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","福山","Fukuyama",,,,,
"02","備後本庄","Bingo-Honjo",,,,,
"03","横尾","Yokoo",,,,,
"04","神辺","Kannabe",,,,,
"05","湯田村","Yudamura",,,,,
"06","道上","Michinoue",,,,,
"07","万能倉","Managura",,,,,
"08","駅家","Ekiya",,,,,
"09","近田","Chikata",,,,,
"0a","戸手","Tode",,,,,
"0b","上戸手","Kamitode",,,,,
"0c","新市","Shin-ichi",,,,,
"0d","高木","Takagi",,,,,
"0e","鵜飼","Ukai",,,,,
"0f","府中","Fuchu",,,,,
"0g","下川辺","Shimo-Kawabe",,,,,
"0h","中畑","Nakahata",,,,,
"0i","河佐","Kawasa",,,,,
"0j","備後三川","Bingo-Mikawa",,,,,
"0k","備後矢野","Bingo-Yano",,,,,
"0l","上下","Joge",,,,,
"0m","甲奴","Konu",,,,,
"0n","梶田","Kajita",,,,,
"0o","備後安田","Bingo-Yasuda",,,,,
"0p","吉舎","Kisa",,,,,
"0q","三良坂","Mirasaka",,,,,
"0r","塩町","Shiomachi",,,,,
"0s","塩町","Shiomachi",,,,,
"0t","神杉","Kamisugi",,,,,
"0u","八次","Yatsugi",,,,,
"0v","三次","Miyoshi",,,,,
