"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","三原","Mihara",,,,,
"02","須波","Sunami",,,,,
"03","安芸幸崎","Akisaizaki",,,,,
"04","忠海","Tadanoumi",,,,,
"05","安芸長浜","Akinagahama",,,,,
"06","大乗","Onori",,,,,
"07","竹原","Takehara",,,,,
"08","吉名","Yoshina",,,,,
"09","安芸津","Akitsu",,,,,
"0a","風早","Kazahaya",,,,,
"0b","安浦","Yasuura",,,,,
"0c","安登","Ato",,,,,
"0d","安芸川尻","Akikawajiri",,,,,
"0e","仁方","Nigata",,,,,
"0f","広","Hiro",,,,,
"0g","新広","Shin-Hiro",,,,,
"0h","安芸阿賀","Akiaga",,,,,
"0i","呉","Kure",,,,,
"0j","川原石","Kawaraishi",,,,,
"0k","吉浦","Yoshiura",,,,,
"0l","かるが浜","Karugahama",,,,,
"0m","天応","Tenno",,,,,
"0n","呉ポートピア","Kure-Portopia",,,,,
"0o","小屋浦","Koyaura",,,,,
"0p","水尻","Mizushiri",,,,,
"0q","坂","Saka",,,,,
"0r","矢野","Yano",,,,,
"0s","海田市","Kaitaichi",,,,,
