"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","横川","Yokogawa","0","","","ja16846",""
"02","三滝","Mitaki","1.1","","","ja21751",""
"03","安芸長束","Aki-Nagatsuka","2.6","","","ja21932",""
"04","下祗園","Shimo-Gion","3.9","","","ja1519563",""
"05","古市橋","Furuichibashi","5.3","","","ja21934",""
"06","大町","Omachi","6.5","","","ja21992",""
"07","緑井","Midorii","7.3","","","ja21749",""
"08","七軒茶屋","Shichikenjaya","8","","","ja21748",""
"09","梅林","Bairin","9.6","","","ja21746",""
"0a","上八木","Kami-Yagi","11.2","","","ja21745",""
"0b","中島","Nakashima","12.6","","","ja144118",""
"0c","可部","Kabe","14","","","ja21743",""
"0d","河戸帆待川","Kodo-Homachigawa","14.8","","","ja2937274",""
"0e","あき亀山","Aki-Kameyama","15.6","","","ja2937289",""
