"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","新山口","Shin-Yamaguchi",,,,,
"02","上嘉川","Kami-Kagawa",,,,,
"03","深溝","Fukamizo",,,,,
"04","周防佐山","Suo-Sayama",,,,,
"05","岩倉","Iwakura",,,,,
"06","阿知須","Ajisu",,,,,
"07","岐波","Kiwa",,,,,
"08","丸尾","Maruo",,,,,
"09","床波","Tokonami",,,,,
"0a","常盤","Tokiwa",,,,,
"0b","草江","Kusae",,,,,
"0c","宇部岬","Ubemisaki",,,,,
"0d","東新川","Higashi-Shinkawa",,,,,
"0e","琴芝","Kotoshiba",,,,,
"0f","宇部新川","Ube-Shinkawa",,,,,
"0g","居能","Ino",,,,,
"0h","岩鼻","Iwahana",,,,,
"0i","宇部","Ube",,,,,
