"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","新大阪","Shin-Osaka",,,,,
"02","南吹田","Minami-Suita",,,,,
"03","JR淡路","JR-Awaji",,,,,
"04","城北公園通","Shirokitakoendori",,,,,
"05","JR野江","JR-Noe",,,,,
"06","鴫野","Shigino",,,,,
"07","放出","Hanaten",,,,,
"08","高井田中央","Takaida-Chuo",,,,,
"09","JR河内永和","JR Kawachi-Eiwa",,,,,
"0a","JR俊徳道","JR Shuntokumichi",,,,,
"0b","JR長瀬","JR Nagase",,,,,
"0c","衣摺加美北","Kizuri-Kamikita",,,,,
"0d","新加美","Shin-Kami",,,,,
"0e","久宝寺","Kyuhoji",,,,,
