"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","徳島","Tokushima","0","","","ja110780",""
"02","阿波富田","Awa-Tomida","1.4","","","ja75484",""
"03","二軒屋","Niken'ya","2.8","","","ja176446",""
"04","文化の森","Bunkanomori","3.9","","","ja59013",""
"05","地蔵橋","Jizobashi","6","","","ja176440",""
"06","中田","Chuden","9.2","","","ja38426",""
"07","南小松島","Minami-Komatsushima","10.9","","","ja176427",""
"08","阿波赤石","Awa-Akaishi","14.2","","","ja176420",""
"09","立江","Tatsue","15.6","","","ja176413",""
"0a","羽ノ浦","Hanoura","17.7","","","ja176408",""
"0b","西原","Nishibara","19.8","","","ja176414",""
"0c","阿波中島","Awa-Nakashima","21.8","","","ja175219",""
"0d","阿南","Anan","24.5","","","ja175213",""
"0e","見能林","Minobayashi","26.4","","","ja176091",""
"0f","阿波橘","Awa-Tachibana","28.6","","","ja176090",""
"0g","桑野","Kuwano","32.6","","","ja176111",""
"0h","新野","Aratano","36.2","","","ja23490",""
"0i","阿波福井","Awa-Fukui","38.9","","","ja176720",""
"0j","由岐","Yuki","44.9","","","ja176772",""
"0k","田井ノ浜","Tainohama","45.7","","","ja175918",""
"0l","木岐","Kiki","47.2","","","ja176834",""
"0m","北河内","Kitagawachi","51.5","","","ja152656",""
"0n","日和佐","Hiwasa","53.3","","","ja99194",""
"0o","山河内","Yamagawachi","58.4","","","ja176843",""
"0p","辺川","Hegawa","64.3","","","ja161851",""
"0q","牟岐","Mugi","67.7","","","ja176849",""
"0r","鯖瀬","Sabase","72","","","ja177106",""
"0s","浅川","Asakawa","75.4","","","ja177108",""
"0t","阿波海南","Awa-Kainan","77.8","","","ja177111",""
"0u","海部","Kaifu","79.3","","","ja177115",""
