"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","鳥栖","Tosu",,,,,
"02","新鳥栖","Shin-Tosu",,,,,
"03","肥前麓","Hizen-Fumoto",,,,,
"04","中原","Nakabaru",,,,,
"05","吉野ヶ里公園","Yoshinogari-Koen",,,,,
"06","神埼","Kanzaki",,,,,
"07","伊賀屋","Igaya",,,,,
"08","佐賀","Saga",,,,,
"09","鍋島","Nabeshima",,,,,
"0a","バルーンさが","Balloon Saga",,,,,
"0b","久保田","Kubota",,,,,
"0c","牛津","Ushizu",,,,,
"0d","肥前山口","Hizen-Yamaguchi",,,,,
"0e","肥前白石","Hizen-Shiroishi",,,,,
"0f","肥前竜王","Hizen-Ryuo",,,,,
"0g","肥前鹿島","Hizen-Kashima",,,,,
"0h","肥前浜","Hizen-Hama",,,,,
"0i","肥前七浦","Hizen-Nanaura",,,,,
"0j","肥前飯田","Hizen-Iida",,,,,
"0k","多良","Tara",,,,,
"0l","肥前大浦","Hizen-Oura",,,,,
"0m","小長井","Konagai",,,,,
"0n","長里","Nagasato",,,,,
"0o","湯江","Yue",,,,,
"0p","小江","Oe",,,,,
"0q","肥前長田","Hizen-Nagata",,,,,
"0r","東諫早","Higashi-Isahaya",,,,,
"0s","諫早","Isahaya",,,,,
"0t","西諫早","Nishi-Isahaya",,,,,
"0u","喜々津","Kikitsu",,,,,
"0v","市布","Ichinuno",,,,,
"0w","肥前古賀","Hizen-Koga",,,,,
"0x","現川","Utsutsugawa",,,,,
"0y","浦上","Urakami",,,,,
"0z","長崎","Nagasaki",,,,,
