"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","城野","Jono",,,,,
"02","石田","Ishida",,,,,
"03","志井公園","Shii Koen",,,,,
"04","志井","Shii",,,,,
"05","石原町","Ishiharamachi",,,,,
"06","呼野","Yobuno",,,,,
"07","採銅所","Saidosho",,,,,
"08","香春","Kawara",,,,,
"09","一本松","Ipponmatsu",,,,,
"0a","田川伊田","Tagawa Ita",,,,,
"0b","田川後藤寺","Tagawa Gotoji",,,,,
"0c","池尻","Ikejiri",,,,,
"0d","豊前川崎","Buzen Kawasaki",,,,,
"0e","西添田","Nishi Soeda",,,,,
"0f","添田","Soeda",,,,,
"0g","歓遊舎ひこさん","Kanyusha Hikosan",,,,,
"0h","豊前桝田","Buzen Masuda",,,,,
"0i","彦山","Hikosan",,,,,
"0j","筑前岩屋","Chikuzen Iwaya",,,,,
"0k","大行司","Daigyoji",,,,,
"0l","宝珠山","Hoshuyama",,,,,
"0m","大鶴","Otsuru",,,,,
"0n","今山","Imayama",,,,,
"0o","夜明","Yoake",,,,,
