"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","南宮崎","Minami-Miyazaki",,,,,
"02","田吉","Tayoshi",,,,,
"03","南方","Minamikata",,,,,
"04","木花","Kibana",,,,,
"05","運動公園","Undokoen",,,,,
"06","曽山寺","Sosanji",,,,,
"07","子供の国","Kodomonokuni",,,,,
"08","青島","Aoshima",,,,,
"09","折生迫","Oryuzako",,,,,
"0a","内海","Uchiumi",,,,,
"0b","小内海","Kouchiumi",,,,,
"0c","伊比井","Ibii",,,,,
"0d","北郷","Kitago",,,,,
"0e","内之田","Uchinoda",,,,,
"0f","飫肥","Obi",,,,,
"0g","日南","Nichinan",,,,,
"0h","油津","Aburatsu",,,,,
"0i","大堂津","Odotsu",,,,,
"0j","南郷","Nango",,,,,
"0k","谷之口","Taninokuchi",,,,,
"0l","榎原","Yowara",,,,,
"0m","日向大束","Hyuga-Otsuka",,,,,
"0n","日向北方","Hyuga-Kitakata",,,,,
"0o","串間","Kushima",,,,,
"0p","福島今町","Fukushima-Imamachi",,,,,
"0q","福島高松","Fukushima-Takamatsu",,,,,
"0r","大隅夏井","Osumi-Natsui",,,,,
"0s","志布志","Shibushi",,,,,
