"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","新宿","Shinjuku","0.0",,,,
"02","笹塚","Sasazuka","3.6",,,,
"03","代田橋","Daitabashi","4.4",,,,
"04","明大前","Meidaimae","5.2",,,,
"05","下高井戸","Shimo-Takaido","6.1",,,,
"06","桜上水","Sakurajōsui","7",,,,
"07","上北沢","Kami-Kitazawa","7.8",,,,
"08","八幡山","Hachimanyama","8.4",,,,
"09","芦花公園","Roka-kōen","9.1",,,,
"0a","千歳烏山","Chitose-Karasuyama","9.9",,,,
"0b","仙川","Sengawa","11.5",,,,
"0c","つつじヶ丘","Tsutsujigaoka","12.5",,,,
"0d","柴崎","Shibasaki","13.3",,,,
"0e","国領","Kokuryo","14.2",,,,
"0f","布田","Fuda","14.9",,,,
"0g","調布","Chōfu","15.5",,,,
"0h","西調布","Nishi-Chofu","17",,,,
"0i","飛田給","Tobitakyu","17.7",,,,
"0j","武蔵野台","Musashinodai","18.8",,,,
"0k","多磨霊園","Tama-Reien","19.6",,,,
"0l","東府中","Higashi-Fuchu","20.4",,,,
"0m","府中","Fuchu","21.9",,,,
"0n","分倍河原","Bubaigawara","23.1",,,,
"0o","中河原","Nakagawara","24.7",,,,
"0p","聖蹟桜ヶ丘","Seiseki-Sakuragaoka","26.3",,,,
"0q","百草園","Mogusaen","28",,,,
"0r","高幡不動","Takahatafudō","29.7",,,,
"0s","南平","Minamidaira","32.1",,,,
"0t","平山城址公園","Hirayamajōshi-kōen","33.4",,,,
"0u","長沼","Naganuma","34.9",,,,
"0v","北野","Kitano","36.1",,,,
"0w","京王八王子","Keiō-Hachiōji","37.9",,,,
