"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","相模大野","Sagami-Ono","0.0",,,,
"02","東林間","Higashi-Rinkan","1.5",,,,
"03","中央林間","Chuo-Rinkan","3",,,,
"04","南林間","Minami-Rinkan","4.5",,,,
"05","鶴間","Tsuruma","5.1",,,,
"06","大和","Yamato","7.6",,,,
"07","桜ヶ丘","Sakuragaoka","7.6",,,,
"08","高座渋谷","Koza-Shibuya","11.8",,,,
"09","長後","Chōgo","14",,,,
"0a","湘南台","Shonandai","15.8",,,,
"0b","六会日大前","Mutsuai-Nichidaimae","17.3",,,,
"0c","善行","Zengyo","19.7",,,,
"0d","藤沢本町","Fujisawa-Hommachi","21.3",,,,
"0e","藤沢","Fujisawa","23.1",,,,
"0f","本鵠沼","Hon-Kugenuma","24.6",,,,
"0g","鵠沼海岸","Kugenuma-Kaigan","25.9",,,,
"0h","片瀬江ノ島","Katase-Enoshima","27.6",,,,
