"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","渋谷","Shibuya","0.0",,,,
"02","池尻大橋","Ikejiri-Ohashi","1.9",,,,
"03","三軒茶屋","Sangen-Jaya","3.3",,,,
"04","駒沢大学","Komazawa-Daigaku","4.8",,,,
"05","桜新町","Sakura-shimmachi","6.3",,,,
"06","用賀","Yōga","7.6",,,,
"07","二子玉川","Futako-Tamagawa","9.4",,,,
"08","二子新地","Futako-Shinchi","10.1",,,,
"09","高津","Takatsu","10.7",,,,
"0a","溝の口","Mizonokuchi","11.4",,,,
"0b","梶が谷","Kajigaya","12.2",,,,
"0c","宮崎台","Miyazakidai","13.7",,,,
"0d","宮前平","Miyamaedaira","14.7",,,,
"0e","鷺沼","Saginuma","15.7",,,,
"0f","たまプラーザ","Tama-Plaza","17.1",,,,
"0g","あざみ野","Azamino","18.2",,,,
"0h","江田","Eda","19.3",,,,
"0i","市が尾","Ichigao","20.6",,,,
"0j","藤が丘","Fujigaoka","22.1",,,,
"0k","青葉台","Aobadai","23.1",,,,
"0l","田奈","Tana","24.5",,,,
"0m","長津田","Nagatsuta","25.6",,,,
"0n","つくし野","Tsukushino","26.8",,,,
"0o","すずかけ台","Suzukakedai","28",,,,
"0p","南町田グランベリーパーク","Minami-machida Grandberry Park","29.2",,,,
"0q","つきみ野","Tsukimino","30.3",,,,
"0r","中央林間","Chuo-Rinkan","31.5",,,,
