"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","横浜","Yokohama","0.0",,,,
"02","平沼橋","Hiranumabashi","0.9",,,,
"03","西横浜","Nishi-Yokohama","1.8",,,,
"04","天王町","Tennōchō","2.4",,,,
"05","星川","Hoshikawa","3.3",,,,
"06","和田町","Wadamachi","4.3",,,,
"07","上星川","Kamihoshikawa","5",,,,
"08","西谷","Nishiya","6.9",,,,
"09","鶴ヶ峰","Tsurugamine","8.5",,,,
"0a","二俣川","Futamatagawa","10.5",,,,
"0b","希望ヶ丘","Kibōgaoka","12.2",,,,
"0c","三ツ境","Mitsukyō","13.6",,,,
"0d","瀬谷","Seya","15.5",,,,
"0e","大和","Yamato","17.4",,,,
"0f","相模大塚","Sagami-Ōtsuka","19.3",,,,
"0g","さがみ野","Sagamino","20.5",,,,
"0h","かしわ台","Kashiwadai","21.8",,,,
"0i","海老名","Ebina","24.6",,,,
