"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","中野","Nakano","0.0",,,,
"02","落合","Ochiai","2",,,,
"03","高田馬場","Takadanobaba","1.9",,,,
"04","早稲田","Waseda","1.7",,,,
"05","神楽坂","Kagurazaka","1.2",,,,
"06","飯田橋","Iidabashi","1.2",,,,
"07","九段下","Kudanshita","0.7",,,,
"08","竹橋","Takebashi","1",,,,
"09","大手町","Otemachi","1",,,,
"0a","日本橋","Nihombashi","0.8",,,,
"0b","茅場町","Kayabachō","0.5",,,,
"0c","門前仲町","Monzen-Nakachō","1.8",,,,
"0d","木場","Kiba","1.1",,,,
"0e","東陽町","Toyocho","0.9",,,,
"0f","南砂町","Minami-Sunamachi","1.2",,,,
"0g","西葛西","Nishi-Kasai","2.7",,,,
"0h","葛西","Kasai","1.2",,,,
"0i","浦安","Urayasu","1.9",,,,
"0j","南行徳","Minami-Gyotoku","1.2",,,,
"0k","行徳","Gyotoku","1.5",,,,
"0l","妙典","Myoden","1.3",,,,
"0m","原木中山","Baraki-Nakayama","2.1",,,,
"0n","西船橋","Nishi-Funabashi","1.9",,,,
