"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","新安城","Shin Anjo","0",,,,
"02","北安城","Kita Anjo","2.6",,,,
"03","南安城","Minami Anjo","4",,,,
"04","碧海古井","Hekikai Furui","5.7",,,,
"05","堀内公園","Horiuchikoen","6.7",,,,
"06","桜井","Sakurai","7.9",,,,
"07","南桜井","Minami Sakurai","9.5",,,,
"08","米津","Yonezu","11.6",,,,
"09","桜町前","Sakuramachi-mae","13",,,,
"0a","西尾口","Nishioguchi","14.2",,,,
"0b","西尾","Nishio","15",,,,
"0c","福地","Fukuchi","17.4",,,,
"0d","上横須賀","Kami Yokosuka","20.5",,,,
"0e","吉良吉田","Kira Yoshida","24.7",,,,
