"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","猿投","Sanage","0.0",,,,
"02","平戸橋","Hiratobashi","1.1",,,,
"03","越戸","Koshido","2.2",,,,
"04","梅坪","Umetsubo","4.2",,,,
"05","豊田市","Toyotashi","5.6",,,,
"06","上挙母","Uwa Goromo","7.4",,,,
"07","土橋","Tsuchihashi","10.2",,,,
"08","竹村","Takemura","12.8",,,,
"09","若林","Wakabayashi","15.1",,,,
"0a","三河八橋","Mikawa Yatsuhashi","17.5",,,,
"0b","三河知立","Mikawa Chiryu","20.6",,,,
"0c","知立","Chiryu","21.3",,,,
"0d","重原","Shigehara","23.5",,,,
"0e","刈谷","Kariya","25.2",,,,
"0f","刈谷市","Kariyashi","26.8",,,,
"0g","小垣江","Ogakie","29.4",,,,
"0h","吉浜","Yoshihama","31.4",,,,
"0i","三河高浜","Mikawa Takahama","33.3",,,,
"0j","高浜港","Takahama Minato","34.3",,,,
"0k","北新川","Kitashinkawa","36.1",,,,
"0l","新川町","Shinkawamachi","37.1",,,,
"0m","碧南中央","Hekinan Chuo","38.2",,,,
"0n","碧南","Hekinan","39.8",,,,
