"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","栄町","Sakaemachi","0",,,,
"02","東大手","Higashiōte","1.5",,,,
"03","清水","Shimizu","2.2",,,,
"04","尼ヶ坂","Amagasaka","2.7",,,,
"05","森下","Morishita","3.6",,,,
"06","大曽根","Ōzone","4.6",,,,
"07","矢田","Yada","5.9",,,,
"08","守山自衛隊前","Moriyama-Jieitai-Mae","7",,,,
"09","瓢箪山","Hyōtan-yama","7.6",,,,
"0a","小幡","Obata","8.6",,,,
"0b","喜多山","Kitayama","9.9",,,,
"0c","大森・金城学院前","Ōmori-Kinjōgakuin-mae","10.7",,,,
"0d","印場","Inba","12.2",,,,
"0e","旭前","Asahi-mae","13.1",,,,
"0f","尾張旭","Owari Asahi","14.7",,,,
"0g","三郷","Sangō","16.1",,,,
"0h","水野","Mizuno","18",,,,
"0i","新瀬戸","Shin Seto","18.7",,,,
"0j","瀬戸市役所前","Seto-Shiyakusho-mae","19.4",,,,
"0k","尾張瀬戸","Owari Seto","20.6",,,,
