"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","上飯田","Kamiiida","0.0",,,,
"02","味鋺","Ajima","2.3",,,,
"03","味美","Ajiyoshi","3.7",,,,
"04","春日井","Kasugai","5.4",,,,
"05","牛山","Ushiyama","6.9",,,,
"06","間内","Manai","7.8",,,,
"07","小牧口","Komakiguchi","9.0",,,,
"08","小牧","Komaki","9.8",,,,
"09","小牧原","Komakihara","11.3",,,,
"0a","味岡","Ajioka","12.4",,,,
"0b","田県神社前","Tagata-jinja-mae","13.3",,,,
"0c","楽田","Gakuden","14.9",,,,
"0d","羽黒","Haguro","17.2",,,,
"0e","犬山","Inuyama","20.6",,,,
