"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","名鉄岐阜","Meitetsu Gifu","0.0",,,,
"02","田神","Tagami","1.1",,,,
"03","細畑","Hosobata","2.9",,,,
"04","切通","Kiridōshi","3.9",,,,
"05","手力","Tejikara","4.8",,,,
"06","高田橋","Takada-bashi","5.4",,,,
"07","新加納","Shin Kanō","6.6",,,,
"08","新那加","Shin Naka","7.5",,,,
"09","市民公園","Shiminkōen-mae","8.1",,,,
"0a","各務原市役所前","Kakamigahara-shiyakusho-mae","8.7",,,,
"0b","六軒","Rokken","9.9",,,,
"0c","三柿野","Mikakino","11.2",,,,
"0d","二十軒","Nijikken","12.4",,,,
"0e","名電各務原","Meiden Kakamigahara","13.7",,,,
"0f","苧ヶ瀬","Ogase","14.6",,,,
"0g","羽場","Haba","15.5",,,,
"0h","鵜沼宿","Unumajuku","16.5",,,,
"0i","新鵜沼","Shin Unuma","17.6",,,,
