"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","枇杷島分岐点","Biwajima Junction","0.0",,,,
"02","下小田井","Shimo-Otai","1.0",,,,
"03","中小田井","Naka-Otai","2.4",,,,
"04","上小田井","Kami-Otai","3.5",,,,
"05","西春","Nishiharu","5.9",,,,
"06","徳重・名古屋芸大","Tokushige-Nagoya-Geidai","7.3",,,,
"07","大山寺","Taisanji","8.1",,,,
"08","岩倉","Iwakura","9.7",,,,
"09","石仏","Ishibotoke","11.8",,,,
"0a","布袋","Hotei","14.2",,,,
"0b","江南","Kōnan","16.2",,,,
"0c","柏森","Kashiwamori","19.0",,,,
"0d","扶桑","Fusō","21.2",,,,
"0e","木津用水","Kotsuyōsui","22.6",,,,
"0f","犬山口","Inuyamaguchi","24.0",,,,
"0g","犬山","Inuyama","24.9",,,,
"0h","犬山遊園","Inuyama-Yūen","26.1",,,,
"0i","新鵜沼","Shin-Unuma","26.8",,,,
