"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","弥富","Yatomi","0.0",,,,
"02","五ノ三","Gonosan","2.5",,,,
"03","佐屋","Saya","4.6",,,,
"04","日比野","Hibino","6.6",,,,
"05","津島","Tsushima","8.2",,,,
"06","町方","Machikata","9.6",,,,
"07","六輪","Rokuwa","11.1",,,,
"08","渕高","Fuchidaka","12.4",,,,
"09","丸渕","Marubuchi","13.4",,,,
"0a","上丸渕","Kami-Marubuchi","14.7",,,,
"0b","森上","Morikami","16.2",,,,
"0c","山崎","Yamazaki","17.3",,,,
"0d","玉野","Tamano","18.7",,,,
"0e","萩原","Hagiwara","20.2",,,,
"0f","二子","Futago","21.3",,,,
"0g","苅安賀","Kariyasuka","22.5",,,,
"0h","観音寺","Kannonji","23.2",,,,
"0i","名鉄一宮","Meitetsu Ichinomiya","25.3",,,,
"0j","西一宮","Nishi-Ichinomiya","26",,,,
"0k","開明","Kaimei","28.1",,,,
"0l","奥町","Okuchō","29.4",,,,
"0m","玉ノ井","Tamanoi","30.9",,,,
