"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","名古屋本線","Nagoya Main Line",,,,,
"02","西尾線","Nishio Line",,,,,
"03","三河線","Mikawa Line",,,,,
"04","豊田線","Toyota Line",,,,,
"05","蒲郡線","Gamagori Line",,,,,
"06","常滑線","Tokoname Line",,,,,
"07","築港線","Chikko Line",,,,,
"08","河和線","Kowa Line",,,,,
"09","知多新線","Chita Line",,,,,
"0a","瀬戸線","Seto Line",,,,,
"0b","小牧線","Komaki Line",,,,,
"0c","各務原線","Kagamihara Line",,,,,
"0d","犬山線","Inuyama Line",,,,,
"0e","広見線","Hiromi Line",,,,,
"0f","津島線","Tsushima Line",,,,,
"0g","尾西線","Bisai Line",,,,,
"0h","竹鼻線","Takehana Line",,,,,
"0i","羽島線","Hashima Line",,,,,
"0j","豊川線","Toyokawa Line",,,,,
"0k","空港線","常滑",,,,,
