"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大和西大寺","Yamato-Saidaiji","0.0",,,,
"02","尼ヶ辻","Amagatsuji","1.6",,,,
"03","西ノ京","Nishinokyo","2.8",,,,
"04","九条","Kujo","4.0",,,,
"05","近鉄郡山","Kintetsu-Koriyama","5.5",,,,
"06","筒井","Tsutsui","8.4",,,,
"07","平端","Hirahata","9.9",,,,
"08","ファミリー公園前","Family-Koemmae","10.9",,,,
"09","結崎","Yuzaki","12.4",,,,
"0a","石見","Iwami","13.8",,,,
"0b","田原本","Tawaramoto","15.9",,,,
"0c","笠縫","Kasanui","17.3",,,,
"0d","新ノ口","Ninokuchi","19.1",,,,
"0e","大和八木","Yamato-Yagi","20.5",,,,
"0f","八木西口","Yagi-nishiguchi","20.9",,,,
"0g","畝傍御陵前","Unebigoryomae","22.8",,,,
"0h","橿原神宮前","Kashiharajingu-mae","23.8",,,,
