"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","橿原神宮前","Kashiharajingu-mae","0.0",,,,
"02","岡寺","Okadera","1.1",,,,
"03","飛鳥","Asuka","2.2",,,,
"04","壺阪山","Tsubosakayama","3.9",,,,
"05","市尾","Ichio","6.0",,,,
"06","葛","Kuzu","7.9",,,,
"07","吉野口","Yoshinoguchi","9.5",,,,
"08","薬水","Kusurimizu","11.2",,,,
"09","福神","Fukugami","12.8",,,,
"0a","大阿太","Ōada","14.6",,,,
"0b","下市口","Shimoichiguchi","17.0",,,,
"0c","越部","Koshibe","18.7",,,,
"0d","六田","Muda","20.7",,,,
"0e","大和上市","Yamato-Kamiichi","22.9",,,,
"0f","吉野神宮","Yoshino-Jingu","23.7",,,,
"0g","吉野","Yoshino","25.2",,,,
