"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","京都","Kyoto","0.0",,,,
"02","東寺","Toji","0.9",,,,
"03","十条","Jujo","1.5",,,,
"04","上鳥羽口","Kamitobaguchi","2.5",,,,
"05","竹田","Takeda","3.6",,,,
"06","伏見","Fushimi","4.9",,,,
"07","近鉄丹波橋","Kintetsu-Tambabashi","6",,,,
"08","桃山御陵前","Momoyamagoryōmae","6.5",,,,
"09","向島","Mukaijima","8.6",,,,
"0a","小倉","Ogura","11.4",,,,
"0b","伊勢田","Iseda","12.7",,,,
"0c","大久保","Ōkubo","13.6",,,,
"0d","久津川","Kutsukawa","14.6",,,,
"0e","寺田","Terada","15.9",,,,
"0f","富野荘","Tonoshō","17.4",,,,
"0g","新田辺","Shin-Tanabe","19.6",,,,
"0h","興戸","Kodo","21.1",,,,
"0i","三山木","Miyamaki","22.4",,,,
"0j","近鉄宮津","Kintetsu Miyazu","23.1",,,,
"0k","狛田","Komada","24.4",,,,
"0l","新祝園","Shin-Hōsono","26.7",,,,
"0m","木津川台","Kizugawadai","28.2",,,,
"0n","山田川","Yamadagawa","29.2",,,,
"0o","高の原","Takanohara","30.8",,,,
"0p","平城","Heijō","33.5",,,,
"0q","大和西大寺","Yamato-Saidaiji","34.6",,,,
