"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","近鉄名古屋","Kintetsu-Nagoya","0.0",,,,
"02","米野","Komeno","1.1",,,,
"03","黄金","Kogane","2.1",,,,
"04","烏森","Kasumori","2.8",,,,
"05","近鉄八田","Kintetsu-Hatta","3.8",,,,
"06","伏屋","Fushiya","6.4",,,,
"07","戸田","Toda","8.4",,,,
"08","近鉄蟹江","Kintetsu-Kanie","9.7",,,,
"09","富吉","Tomiyoshi","12.1",,,,
"0a","佐古木","Sakogi","13.7",,,,
"0b","近鉄弥富","Kintetsu-Yatomi","16.1",,,,
"0c","近鉄長島","Kintetsu-Nagashima","19.5",,,,
"0d","桑名","Kuwana","23.7",,,,
"0e","益生","Masuo","24.8",,,,
"0f","伊勢朝日","Ise-Asahi","27.4",,,,
"0g","川越富洲原","Kawagoe Tomisuhara","30.0",,,,
"0h","近鉄富田","Kintetsu-Tomida","31.6",,,,
"0i","霞ヶ浦","Kasumigaura","33.5",,,,
"0j","阿倉川","Akuragawa","34.6",,,,
"0k","川原町","Kawaramachi","35.7",,,,
"0l","近鉄四日市","Kintetsu-Yokkaichi","36.9",,,,
"0m","新正","Shinshō","38.1",,,,
"0n","海山道","Miyamado","39.6",,,,
"0o","塩浜","Shiohama","40.8",,,,
"0p","北楠","Kita-Kusu","42.6",,,,
"0q","楠","Kusu","44.2",,,,
"0r","長太ノ浦","Nagonoura","45.6",,,,
"0s","箕田","Mida","47",,,,
"0t","伊勢若松","Ise-Wakamatsu","48.3",,,,
"0u","千代崎","Chiyozaki","50.1",,,,
"0v","白子","Shiroko","52.9",,,,
"0w","鼓ヶ浦","Tsuzumigaura","54.1",,,,
"0x","磯山","Isoyama","56",,,,
"0y","千里","Chisato","57.9",,,,
"0z","豊津上野","Toyotsu-Ueno","59.8",,,,
"10","白塚","Shiratsuka","61.7",,,,
"11","高田本山","Takadahonzan","64.1",,,,
"12","江戸橋","Edobashi","65.3",,,,
"13","津","Tsu","66.5",,,,
"14","津新町","Tsu-shimmachi","68.8",,,,
"15","南が丘","Minamigaoka","71.5",,,,
"16","久居","Hisai","74",,,,
"17","桃園","Momozono","75.5",,,,
"18","伊勢中川","Ise-Nakagawa","78.8",,,,
