"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","鳥羽","Toba","0.0",,,,
"02","中之郷","Nakanogō","1.0",,,,
"03","志摩赤崎","Shima-Akasaki","2.3",,,,
"04","船津","Funatsu","3.9",,,,
"05","加茂","Kamo","5.5",,,,
"06","松尾","Matsuo","6.9",,,,
"07","白木","Shiraki","7.9",,,,
"08","五知","Gochi","11.0",,,,
"09","沓掛","Kutsukake","12.7",,,,
"0a","上之郷","Kaminogō","14.6",,,,
"0b","志摩磯部","Shima-Isobe","16.0",,,,
"0c","穴川","Anagawa","17.6",,,,
"0d","志摩横山","Shima-Yokoyama","20.4",,,,
"0e","鵜方","Ugata","21.3",,,,
"0f","志摩神明","Shima-Shimmei","23.1",,,,
"0g","賢島","Kashikojima","24.5",,,,
