"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大阪線","Osaka Line",,,,,
"02","難波線","Namba Line",,,,,
"03","山田線","Yamada Line",,,,,
"04","奈良線","Nara Line",,,,,
"05","けいはんな線","Keihanna Line",,,,,
"06","橿原線","Kashihara Line",,,,,
"07","天理線","Tenri Line",,,,,
"08","信貴線","Shigi Line",,,,,
"09","南大阪線","Minami Osaka Line",,,,,
"0a","吉野線","Yoshino Line",,,,,
"0b","長野線","Nagano Line",,,,,
"0c","京都線","Kyoto Line",,,,,
"0d","生駒線","Ikoma Line",,,,,
"0e","田原本線","Tawaramoto Line",,,,,
"0f","道明寺線","Domyoji Line",,,,,
"0g","御所線","Gose Line",,,,,
"0h","名古屋線","Nagoya Line",,,,,
"0i","鈴鹿線","Suzuka Line",,,,,
"0j","湯の山線","Yunoyama Line",,,,,
"0k","志摩線","Shima Line",,,,,
"0l","鳥羽線","Toba Line",,,,,
"0m","生駒鋼索線","Ikoma Line",,,,,
"0n","西信貴鋼索線","Nishi-Shigi Line",,,,,
