"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","淀屋橋","Yodoyabashi","0",,,,
"02","北浜","Kitahama","0.5",,,,
"03","天満橋","Temmabashi","1.3",,,,
"04","京橋","Kyōbashi","3",,,,
"05","野江","Noe","4.6",,,,
"06","関目","Sekime","5.3",,,,
"07","森小路","Morishōji","6.2",,,,
"08","千林","Sembayashi","6.8",,,,
"09","滝井","Takii","7.2",,,,
"0a","土居","Doi","7.6",,,,
"0b","守口市","Moriguchi-shi","8.3",,,,
"0c","西三荘","Nishisansō","9.4",,,,
"0d","門真市","Kadoma-shi","10.1",,,,
"0e","古川橋","Furukawabashi","10.8",,,,
"0f","大和田","Ōwada","12",,,,
"0g","萱島","Kayashima","12.8",,,,
"0h","寝屋川市","Neyagawashi","15",,,,
"0i","香里園","Kōrien","17.6",,,,
"0j","光善寺","Kōzenji","19.1",,,,
"0k","枚方公園","Hirakata-kōen","20.8",,,,
"0l","枚方市","Hirakatashi","21.8",,,,
"0m","御殿山","Gotenyama","23.5",,,,
"0n","牧野","Makino","25.5",,,,
"0o","樟葉","Kuzuha","27.7",,,,
"0p","橋本","Hashimoto","30.1",,,,
"0q","石清水八幡宮","Iwashimizu-hachimangū","31.8",,,,
"0r","淀","Yodo","35.3",,,,
"0s","中書島","Chūshojima","39.7",,,,
"0t","伏見桃山","Fushimi-Momoyama","40.6",,,,
"0u","丹波橋","Tambabashi","41.3",,,,
"0v","墨染","Sumizome","42.3",,,,
"0w","藤森","Fujinomori","43.3",,,,
"0x","龍谷大前深草","Ryūkokudai-mae-fukakusa","44.1",,,,
"0y","伏見稲荷","Fushimi-Inari","44.6",,,,
"0z","鳥羽街道","Toba-kaidō","45.2",,,,
"10","東福寺","Tōfukuji","46.1",,,,
"11","七条","Shichijō","47",,,,
"12","清水五条","Kiyomizu-Gojō","47.7",,,,
"13","祇園四条","Gion-Shijō","48.6",,,,
"14","三条","Sanjō","49.3",,,,
