"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大阪梅田","Osaka-umeda","0",,,,
"02","中津","Nakatsu","0.9",,,,
"03","十三","Jūsō","2.4",,,,
"04","三国","Mikuni","4.4",,,,
"05","庄内","Shōnai","6",,,,
"06","服部天神","Hattori-tenjin","7.5",,,,
"07","曽根","Sone","8.7",,,,
"08","岡町","Okamachi","9.5",,,,
"09","豊中","Toyonaka","10.5",,,,
"0a","蛍池","Hotarugaike","11.9",,,,
"0b","石橋阪大前","Ishibashi handai-mae","13.5",,,,
"0c","池田","Ikeda","15.9",,,,
"0d","川西能勢口","Kawanishi-noseguchi","17.2",,,,
"0e","雲雀丘花屋敷","Hibarigaoka-Hanayashiki","18.2",,,,
"0f","山本","Yamamoto","19.7",,,,
"0g","中山観音","Nakayama-kannon","21.5",,,,
"0h","売布神社","Mefu-Jinja","22.4",,,,
"0i","清荒神","Kiyoshikōjin","23.3",,,,
"0j","宝塚","Takarazuka","24.5",,,,
