"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","コスモスクエア","Cosmosquare","0",,,,
"02","大阪港","Ōsakakō","2.4",,,,
"03","朝潮橋","Asashiobashi","3.9",,,,
"04","弁天町","Bentenchō","5.5",,,,
"05","九条","Kujō","6.8",,,,
"06","阿波座","Awaza","8.3",,,,
"07","本町","Hommachi","9.4",,,,
"08","堺筋本町","Sakaisuji-Hommachi","10.1",,,,
"09","谷町四丁目","Tanimachi Yonchōme","11.1",,,,
"0a","森ノ宮","Morinomiya","12.4",,,,
"0b","緑橋","Midoribashi","13.6",,,,
"0c","深江橋","Fukaebashi","14.7",,,,
"0d","高井田","Takaida","16.1",,,,
"0e","長田","Nagata","17.9",,,,
