"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","西代","Nishidai","0",,,,
"02","板宿","Itayado","1",,,,
"03","東須磨","Higashi-Suma","1.8",,,,
"04","月見山","Tsukimiyama","2.6",,,,
"05","須磨寺","Sumadera","3.3",,,,
"06","山陽須磨","Sanyo Suma","3.7",,,,
"07","須磨浦公園","Sumaura-kōen","5.1",,,,
"08","山陽塩屋","Sanyo Shioya","6.8",,,,
"09","滝の茶屋","Takinochaya","7.8",,,,
"0a","東垂水","Higashi-Tarumi","8.6",,,,
"0b","山陽垂水","Sanyo Tarumi","9.6",,,,
"0c","霞ヶ丘","Kasumigaoka","10.7",,,,
"0d","舞子公園","Maiko-kōen","11.5",,,,
"0e","西舞子","Nishi-Maiko","12.4",,,,
"0f","大蔵谷","Ōkuradani","14.3",,,,
"0g","人丸前","Hitomarumae","14.9",,,,
"0h","山陽明石","Sanyo Akashi","15.7",,,,
"0i","西新町","Nishi-Shimmachi","16.9",,,,
"0j","林崎松江海岸","Hayashisaki-Matsuekaigan","18.4",,,,
"0k","藤江駅","Fujie","20.4",,,,
"0l","中八木","Nakayagi","21.8",,,,
"0m","江井ヶ島","Eigashima","23.5",,,,
"0n","西江井ヶ島","Nishi-Eigashima","24.9",,,,
"0o","山陽魚住","Sanyo Uozumi","25.6",,,,
"0p","東二見","Higashi-Futami","27.3",,,,
"0q","西二見","Nishi-Futami","28.6",,,,
"0r","播磨町","Harimachō","29.9",,,,
"0s","別府","Befu","32.2",,,,
"0t","浜の宮","Hamanomiya","34.1",,,,
"0u","尾上の松","Onoenomatsu","35.5",,,,
"0v","高砂","Takasago","37.3",,,,
"0w","荒井","Arai","38.5",,,,
"0x","伊保","Iho","39.7",,,,
"0y","山陽曽根","Sanyo Sone","41.3",,,,
"0z","大塩","Ōshio","42.8",,,,
"10","的形","Matogata","44.2",,,,
"11","八家","Yaka","46.2",,,,
"12","白浜の宮","Shirahamanomiya","47.6",,,,
"13","妻鹿","Mega","49",,,,
"14","飾磨","Shikama","50.9",,,,
"15","亀山","Kameyama","52.3",,,,
"16","手柄","Tegara","53.4",,,,
"17","山陽姫路","Sanyo Himeji","54.7",,,,
