"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","栄町","Sakaemachi","0",,,,
"02","新道東","Shindō-Higashi","0.9",,,,
"03","元町","Motomachi","2.1",,,,
"04","環状通東","Kanjō-Dōri-Higashi","3.5",,,,
"05","東区役所前","Higashi-Kuyakusho-Mae","4.5",,,,
"06","北13条東","Kita-Jūsan-Jō-Higashi","5.4",,,,
"07","さっぽろ","Sapporo","6.7",,,,
"08","大通","Ōdōri","7.3",,,,
"09","豊水すすきの","Hōsui-Susukino","8.1",,,,
"0a","学園前","Gakuen-Mae","9.5",,,,
"0b","豊平公園","Toyohira-Kōen","10.4",,,,
"0c","美園","Misono","11.4",,,,
"0d","月寒中央","Tsukisamu-Chūō","12.6",,,,
"0e","福住","Fukuzumi","13.6",,,,
