"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","湯の川","Yunokawa","0",,,,
"02","湯の川温泉","Yunokawa-Onsen","0.5",,,,
"03","函館アリーナ前","Hakodate-Arena-mae","0.8",,,,
"04","駒場車庫前","Komaba-Shako-Mae","1",,,,
"05","競馬場前","Keibajo-Mae","1.3",,,,
"06","深堀町","Fukabori-Cho","1.8",,,,
"07","柏木町","Kashiwagi-Cho","2.3",,,,
"08","杉並町","Suginami-Cho","2.9",,,,
"09","五稜郭公園前","Goryokaku-Koen-Mae","3.5",,,,
"0a","中央病院前","Chuo-Byoin-Mae","3.8",,,,
"0b","千代台","Chiyodadai","4.1",,,,
"0c","堀川町","Horikawa-Cho","4.7",,,,
"0d","昭和橋","Syowa-Bashi","5",,,,
"0e","千歳町","Chitose-Cho","5.3",,,,
"0f","新川町","Shinkawa-Cho","5.6",,,,
"0g","松風町","Matsukaze-Cho","6",,,,
