"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","西馬込","Nishi-magome","0",,,,
"02","馬込","Magome","1.2",,,,
"03","中延","Nakanobu","2.1",,,,
"04","戸越","Togoshi","3.2",,,,
"05","五反田","Gotanda","4.8",,,,
"06","高輪台","Takanawadai","5.5",,,,
"07","泉岳寺","Sengakuji","6.9",,,,
"08","三田","Mita","8",,,,
"09","大門","Daimon","9.5",,,,
"0a","新橋","Shimbashi","10.5",,,,
"0b","東銀座","Higashi-ginza","11.4",,,,
"0c","宝町","Takaracho","12.2",,,,
"0d","日本橋","Nihombashi","13",,,,
"0e","人形町","Ningyocho","13.8",,,,
"0f","東日本橋","Higashi-nihombashi","14.5",,,,
"0g","浅草橋","Asakusabashi","15.2",,,,
"0h","蔵前","Kuramae","15.9",,,,
"0i","浅草","Asakusa","16.8",,,,
"0j","本所吾妻橋","Honjo-azumabashi","17.5",,,,
"0k","押上","Oshiage","18.3",,,,
