"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","あざみ野","Azamino","0",,,,
"02","中川","Nakagawa","1.5",,,,
"03","センター北","Center Kita","3.1",,,,
"04","センター南","Center Minami","4",,,,
"05","仲町台","Nakamachidai","6.3",,,,
"06","新羽","Nippa","8.6",,,,
"07","北新横浜","Kita Shin-Yokohama","9.6",,,,
"08","新横浜","Shin-Yokohama","10.9",,,,
"09","岸根公園","Kishine-kōen","12.5",,,,
"0a","片倉町","Katakurachō","13.7",,,,
"0b","三ツ沢上町","Mitsuzawa-kamichō","15.6",,,,
"0c","三ツ沢下町","Mitsuzawa-shimochō","16.5",,,,
"0d","横浜","Yokohama","17.9",,,,
"0e","高島町","Takashimachō","18.8",,,,
"0f","桜木町","Sakuragichō","20",,,,
"0g","関内","Kannai","20.7",,,,
