"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","高畑","Takabata","0",,,,
"02","八田","Hatta","0.9",,,,
"03","岩塚","Iwatsuka","2",,,,
"04","中村公園","Nakamura Kōen","3.1",,,,
"05","中村日赤","Nakamura Nisseki","3.9",,,,
"06","本陣","Honjin","4.6",,,,
"07","亀島","Kamejima","5.5",,,,
"08","名古屋","Nagoya","6.6",,,,
"09","伏見","Fushimi","8",,,,
"0a","栄","Sakae","9",,,,
"0b","新栄町","Shinsakae-machi","10.1",,,,
"0c","千種","Chikusa","11",,,,
"0d","今池","Imaike","11.7",,,,
"0e","池下","Ikeshita","12.6",,,,
"0f","覚王山","Kakuōzan","13.2",,,,
"0g","本山","Motoyama","14.2",,,,
"0h","東山公園","Higashiyama Kōen (Higashiyama Park)","15.1",,,,
"0i","星ヶ丘","Hoshigaoka","16.2",,,,
"0j","一社","Issha","17.5",,,,
"0k","上社","Kamiyashiro","18.6",,,,
"0l","本郷","Hongō","19.3",,,,
"0m","藤が丘","Fujigaoka","20.6",,,,
