"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01",上小田井,Kami-Otai,0
"02",庄内緑地公園,Shōnai Ryokuchi Kōen,1.4
"03",庄内通,Shōnai-dōri,2.7
"04",浄心,Jōshin,4.1
"05",浅間町,Sengen-chō,4.9
"06",丸の内,Marunouchi,6.3
"07",伏見,Fushimi,7
"08",大須観音,Ōsu Kannon,7.8
"09",上前津,Kamimaezu,8.8
"0a",鶴舞,Tsurumai,9.7
"0b",荒畑,Arahata,11
"0c",御器所,Gokiso,11.9
"0d",川名,Kawana,13.1
"0e",いりなか,Irinaka,14.1
"0f",八事,Yagoto,15
"0g",塩釜口,Shiogama-guchi,16.4
"0h",植田,Ueda,17.6
"0i",原,Hara,18.4
"0j",平針,Hirabari,19.3
"0k",赤池,Akaike,20.4
