"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","六地蔵","Rokujizō","0",,,,
"02","石田","Ishida","1.1",,,,
"03","醍醐","Daigo","2.4",,,,
"04","小野","Ono","3.6",,,,
"05","椥辻","Nagitsuji","4.9",,,,
"06","東野","Higashino","5.9",,,,
"07","山科","Yamashina","7",,,,
"08","御陵","Misasagi","8.7",,,,
"09","蹴上","Keage","10.5",,,,
"0a","東山","Higashiyama","11.5",,,,
"0b","三条京阪","Sanjō Keihan","12.1",,,,
"0c","京都市役所前","Kyōto Shiyakusho-mae","12.6",,,,
"0d","烏丸御池","Karasuma Oike","13.5",,,,
"0e","二条城前","Nijōjō-mae","14.3",,,,
"0f","二条","Nijō","15.1",,,,
"0g","西大路御池","Nishiōji Oike","16.2",,,,
"0h","太秦天神川","Uzumasa Tenjingawa","17.5",,,,
