"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","赤湯","Akayu","0",,,,
"02","南陽市役所","Nan'yō-Shiyakusho","0.9",,,,
"03","宮内","Miyauchi","3",,,,
"04","おりはた","Orihata","4.4",,,,
"05","梨郷","Ringō","6.8",,,,
"06","西大塚","Nishi-Ōtsuka","10.3",,,,
"07","今泉","Imaizumi","12.2",,,,
"08","時庭","Tokiniwa","14.9",,,,
"09","南長井","Minami-Nagai","17.3",,,,
"0a","長井","Nagai","18.3",,,,
"0b","あやめ公園","Ayame-Kōen","19.1",,,,
"0c","羽前成田","Uzen-Narita","21",,,,
"0d","白兎","Shirousagi","23.2",,,,
"0e","蚕桑","Koguwa","24.6",,,,
"0f","鮎貝","Ayukai","27.9",,,,
"0g","四季の郷","Shikinosato","28.6",,,,
"0h","荒砥","Arato","30.5",,,,
