"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","高岡駅","Takaoka","0",,,,
"02","末広町","Suehirochō","0.5",,,,
"03","片原町","Kataharamachi","0.7",,,,
"04","坂下町","Sakashita-machi","0.9",,,,
"05","急患医療センター前","Kyūkan Iryō Center-mae","1.3",,,,
"06","広小路","Hirokōji","1.7",,,,
"07","志貴野中学校前","Shikino Chūgakkō-mae","2.1",,,,
"08","市民病院前","Shiminbyōin-mae","2.4",,,,
"09","江尻","Ejiri","3",,,,
"0a","旭ヶ丘","Asahigaoka","3.3",,,,
"0b","荻布","Ogino","3.8",,,,
"0c","新能町","Shin Nōmachi","4.1",,,,
"0d","米島口","Yonejimaguchi","4.4",,,,
"0e","能町口","Nōmachiguchi","5.5",,,,
"0f","新吉久","Shin Yoshihisa","6",,,,
"0g","吉久","Yoshihisa","6.7",,,,
"0h","中伏木","Naka Fushiki","7.5",,,,
"0i","六渡寺","Rokudōji","8",,,,
