"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","富山","Toyama-Eki","0",,,,
"02","インテック本社前","Intec-Honshamae","0.5",,,,
"03","奥田中学校前","Okudachūgakkōmae","1.2",,,,
"04","下奥井","Shimo-Okui","2.1",,,,
"05","粟島 (大阪屋ショップ前)","Awajima (Ōsakaya-Shop-mae)","2.9",,,,
"06","越中中島","Etchū-Nakajima","3.3",,,,
"07","城河原","Jōgawara","4.3",,,,
"08","犬島新町","Inujima-Shimmachi","4.7",,,,
"09","蓮町（馬場記念公園前）","Hasumachi (Babakinenkoen-mae)","5.5",,,,
"0a","大広田","Ōhirota","6.2",,,,
"0b","東岩瀬","Higashi-Iwase","6.7",,,,
"0c","競輪場前","Keirinjōmae","7.3",,,,
"0d","岩瀬浜","Iwasehama","7.7",,,,
