"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","取手","Toride","0",,,,
"02","西取手","Nishi-Toride","1.6",,,,
"03","寺原","Terahara","2.1",,,,
"04","新取手","Shin-Toride","3.4",,,,
"05","ゆめみ野","Yumemino","4.2",,,,
"06","稲戸井","Inatoi","5.4",,,,
"07","戸頭","Togashira","6.3",,,,
"08","南守谷","Minami-Moriya","7.4",,,,
"09","守谷","Moriya","9.6",,,,
"0a","新守谷","Shin-Moriya","11.4",,,,
"0b","小絹","Kokinu","13",,,,
"0c","水海道","Mitsukaidō","17.5",,,,
"0d","北水海道","Kita-Mitsukaidō","19.3",,,,
"0e","中妻","Nakatsuma","20.9",,,,
"0f","三妻","Mitsuma","23.9",,,,
"0g","南石下","Minami-Ishige","27.2",,,,
"0h","石下","Ishige","28.8",,,,
"0i","玉村","Tamamura","31",,,,
"0j","宗道","Sōdō","33",,,,
"0k","下妻","Shimotsuma","36.1",,,,
"0l","大宝","Daihō","38.7",,,,
"0m","騰波ノ江","Tobanoe","41",,,,
"0n","黒子","Kurogo","43.6",,,,
"0o","大田郷","Ōtagō","47.3",,,,
"0p","下館","Shimodate","51.1",,,,
