"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","中央前橋","Chūō-Maebashi","0",,,,
"02","城東","Jōtō","0.8",,,,
"03","三俣","Mitsumata","1.6",,,,
"04","片貝","Katakai","2.2",,,,
"05","上泉","Kamiizumi","3.2",,,,
"06","赤坂","Akasaka","4.3",,,,
"07","心臓血管センター","Shinzō-Kekkan Center","5.6",,,,
"08","江木","Egi","6.2",,,,
"09","大胡","Ōgo","8.3",,,,
"0a","樋越","Higoshi","9.9",,,,
"0b","北原","Kitahara","10.9",,,,
"0c","新屋","Araya","12",,,,
"0d","粕川","Kasukawa","13.3",,,,
"0e","膳","Zen","14.3",,,,
"0f","新里","Niisato","15.8",,,,
"0g","新川","Nikkawa","17.7",,,,
"0h","東新川","Higashi-Nikkawa","18.7",,,,
"0i","赤城","Akagi","19.6",,,,
"0j","桐生球場前","Kiryū-Kyūjō-Mae","21.8",,,,
"0k","天王宿","Tennōjuku","22.8",,,,
"0l","富士山下","Fujiyamashita","23.7",,,,
"0m","丸山下","Maruyamashita","24.3",,,,
"0n","西桐生","Nishi-Kiryū","25.4",,,,
