"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","秋葉原","Akihabara","0",,,,
"02","新御徒町","Shin-Okachimachi","1.6",,,,
"03","浅草","Asakusa","3.1",,,,
"04","南千住","Minami-Senju","5.6",,,,
"05","北千住","Kita-Senju","7.5",,,,
"06","青井","Aoi","10.6",,,,
"07","六町","Rokuchō","12",,,,
"08","八潮","Yashio","15.6",,,,
"09","三郷中央","Misato-chūō","19.3",,,,
"0a","南流山","Minami-Nagareyama","22.1",,,,
"0b","流山セントラルパーク","Nagareyama-centralpark","24.3",,,,
"0c","流山おおたかの森","Nagareyama-ōtakanomori","26.5",,,,
"0d","柏の葉キャンパス","Kashiwanoha-campus","30",,,,
"0e","柏たなか","Kashiwa-Tanaka","32",,,,
"0f","守谷","Moriya","37.7",,,,
"0g","みらい平","Miraidaira","44.3",,,,
"0h","みどりの","Midorino","48.6",,,,
"0i","万博記念公園","Bampaku-kinenkōen","51.8",,,,
"0j","研究学園","Kenkyū-gakuen","55.6",,,,
"0k","つくば","Tsukuba","58.3",,,,
