"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","伊東","Itō","0",,,,
"02","南伊東","Minami-Itō","2",,,,
"03","川奈","Kawana","6.1",,,,
"04","富戸","Futo","11.5",,,,
"05","城ヶ崎海岸","Jōgasaki-Kaigan","13.9",,,,
"06","伊豆高原","Izu-Kōgen","15.9",,,,
"07","伊豆大川","Izu-Ōkawa","20.9",,,,
"08","伊豆北川","Izu-Hokkawa","22.9",,,,
"09","伊豆熱川","Izu-Atagawa","24.3",,,,
"0a","片瀬白田","Katase-Shirata","26.1",,,,
"0b","伊豆稲取","Izu-Inatori","30.3",,,,
"0c","今井浜海岸","Imaihama-Kaigan","34.2",,,,
"0d","河津","Kawazu","35.3",,,,
"0e","稲梓","Inazusa","40.7",,,,
"0f","蓮台寺","Rendaiji","43.4",,,,
"0g","伊豆急下田","Izukyū Shimoda","45.7",,,,
