"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","金谷","Kanaya","0",,,,
"02","新金谷","Shin-Kanaya","2.3",,,,
"03","代官町","Daikanchō","3.8",,,,
"04","日切","Higiri","4.3",,,,
"05","合格","Gōkaku","5",,,,
"06","門出","Kadode","5.5",,,,
"07","神尾","Kamio","9.8",,,,
"08","福用","Fukuyō","12.3",,,,
"09","大和田","Owada","14.8",,,,
"0a","家山","Ieyama","17.1",,,,
"0b","抜里","Nukuri","18.8",,,,
"0c","川根温泉笹間渡","Kawaneonsen-Sasamado","20",,,,
"0d","地名","Jina","22.9",,,,
"0e","塩郷","Shiogō","24.3",,,,
"0f","下泉","Shimoizumi","27.4",,,,
"0g","田野口","Tanokuchi","31",,,,
"0h","駿河徳山","Suruga-Tokuyama","34.1",,,,
"0i","青部","Aobe","36.1",,,,
"0j","崎平","Sakidaira","37.2",,,,
"0k","千頭","Senzu","39.5",,,,
