"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","駅前","Ekimae","0",,,,
"02","駅前大通","Ekimae-odori","0.3",,,,
"03","新川","Shinkawa","0.6",,,,
"04","札木","Fudagi","1",,,,
"05","市役所前","Shiyakusho-mae","1.4",,,,
"06","豊橋公園前","Toyohashikoen-mae","1.6",,,,
"07","東八町","Higashi-haccho","2.1",,,,
"08","前畑","Maehata","2.5",,,,
"09","東田坂上","Azumada-sakaue","2.8",,,,
"0a","東田","Azumada","3.3",,,,
"0b","競輪場前","Keirinjo-mae","3.6",,,,
"0c","井原","Ihara","4.1",,,,
"0d","赤岩口","Akaiwaguchi","4.8",,,,
