"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","岡崎","Okazaki","0",,,,
"02","六名","Mutsuna","1.7",,,,
"03","中岡崎","Naka-Okazaki","3.4",,,,
"04","北岡崎","Kita-Okazaki","5.3",,,,
"05","大門","Daimon","6.5",,,,
"06","北野桝塚","Kitano-Masuzuka","8.7",,,,
"07","三河上郷","Mikawa-Kamigō","10.7",,,,
"08","永覚","Ekaku","12.4",,,,
"09","末野原","Suenohara","14",,,,
"0a","三河豊田","Mikawa-Toyota","15.9",,,,
"0b","新上挙母","Shin-Uwagoromo","17.6",,,,
"0c","新豊田","Shin-Toyota","19.5",,,,
"0d","愛環梅坪","Aikan-Umetsubo","21.5",,,,
"0e","四郷","Shigō","23.5",,,,
"0f","貝津","Kaizu","25.5",,,,
"0g","保見","Homi","26.8",,,,
"0h","篠原","Sasabara","29.2",,,,
"0i","八草","Yakusa","32",,,,
"0j","山口","Yamaguchi","34.6",,,,
"0k","瀬戸口","Setoguchi","36.7",,,,
"0l","瀬戸市","Setoshi","39.1",,,,
"0m","中水野","Nakamizuno","41.9",,,,
"0n","高蔵寺","Kōzōji","45.3",,,,
