"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","방화","Banghwa",,,,,
"02","개화산","Gaehwasan",,,,,
"03","김포공항","Gimpo Int'l Airport",,,,,
"04","송정","Songjeong",,,,,
"05","마곡","Magok",,,,,
"06","발산","Balsan",,,,,
"07","우장산","Ujangsan",,,,,
"08","화곡","Hwagok",,,,,
"09","까치산","Kkachisan",,,,,
"0a","신정","Sinjeong",,,,,
"0b","목동","Mok-dong",,,,,
"0c","오목교","Omokgyo",,,,,
"0d","양평","Yangpyeong",,,,,
"0e","영등포구청","Yeongdeungpo-gu Office",,,,,
"0f","영등포시장","Yeongdeungpo Market",,,,,
"0g","신길","Singil",,,,,
"0h","여의도","Yeouido",,,,,
"0i","여의나루","Yeouinaru",,,,,
"0j","마포","Mapo",,,,,
"0k","공덕","Gongdeok",,,,,
"0l","애오개","Aeogae",,,,,
"0m","충정로","Chungjeongno",,,,,
"0n","서대문","Seodaemun",,,,,
"0o","광화문","Gwanghwamun",,,,,
"0p","종로3가","Jongno 3(sam)-ga",,,,,
"0q","을지로4가","Euljiro 4(sa)-ga",,,,,
"0r","동대문역사문화공원","Dongdaemun History & Culture Park",,,,,
"0s","청구","Cheonggu",,,,,
"0t","신금호","Singeumho",,,,,
"0u","행당","Haengdang",,,,,
"0v","왕십리","Wangsimni",,,,,
"0w","마장","Majang",,,,,
"0x","답십리","Dapsimni",,,,,
"0y","장한평","Janghanpyeong",,,,,
"0z","군자","Gunja",,,,,
"10","아차산","Achasan",,,,,
"11","광나루","Gangnaru",,,,,
"12","천호","Cheonho",,,,,
"13","강동","Gangdong",,,,,
"14","길동","Gil-dong",,,,,
"15","굽은다리","Gubeundari",,,,,
"16","명일","Myeongil",,,,,
"17","고덕","Godeok",,,,,
"18","상일동","Sangil-dong",,,,,
