"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","장암","Jangam","0","","","ko19037",""
"02","도봉산","Dobongsan","1.4","","","ko15991",""
"03","수락산","Suraksan","3","","","ko15990",""
"04","마들","Madeul","4.4","","","ko19621",""
"05","노원","Nowon","5.6","","","ko15989",""
"06","중계","Junggye","6.7","","","ko19618",""
"07","하계","Hagye","7.7","","","ko19619",""
"08","공릉","Gongneung","9","","","ko19767",""
"09","태릉입구","Taereung","9.8","","","ko15839",""
"0a","먹골","Meokgol","10.7","","","ko20734",""
"0b","중화","Junghwa","11.6","","","ko103440",""
"0c","상봉","Sangbong","12.6","","","ko20770",""
"0d","면목","Myeonmok","13.4","","","ko20771",""
"0e","사가정","Sagajeong","14.3","","","ko20774",""
"0f","용마산","Yongmasan","15.1","","","ko20735",""
"0g","중곡","Junggok","16","","","ko20775",""
"0h","군자","Gunja","17.1","","","ko15163",""
"0i","어린이대공원","Children's Grand Park","18.2","","","ko19617",""
"0j","건대입구","Konkuk University","19","","","ko15164",""
"0k","뚝섬유원지","Ttukseom Park","20","","","ko15165",""
"0l","청담","Cheongdam","22","","","ko15838",""
"0m","강남구청","Gangnam-gu Office","23.1","","","ko15166",""
"0n","학동","Hak-dong","24","","","ko20767",""
"0o","논현","Nonhyeon","25","","","ko20627",""
"0p","반포","Banpo","25.9","","","ko19766",""
"0q","고속터미널","Express Bus Terminal","26.8","","","ko15114",""
"0r","내방","Naebang","29","","","ko15157",""
"0s","이수","Isu","30","","","ko15071",""
"0t","남성","Namseong","31","","","ko15928",""
"0u","숭실대입구","Soongsil Univ.","33","","","ko15717",""
"0v","상도","Sangdo","33.9","","","ko20626",""
"0w","장승배기","Jangseungbaegi","34.8","","","ko20769",""
"0x","신대방삼거리","Sindaebangsamgeori","36","","","ko15111",""
"0y","보라매","Boramae","36.8","","","ko15099",""
"0z","신풍","Sinpung","37.7","","","ko15098",""
"10","대림","Daerim","39.1","","","ko15097",""
"11","남구로","Namguro","40.2","","","ko15653",""
"12","가산디지털단지","Gasan Digital Complex","41","","","ko15837",""
"13","철산","Cheolsan","42.4","","","ko19620",""
"14","광명사거리","Gwangmyeongsageori","43.7","","","ko19038",""
"15","천왕","Cheonwang","45.4","","","ko19622",""
"16","온수","Onsu","46.9","","","ko15654",""
"17","까치울","Kkachiul","49.1","","","ko699682",""
"18","부천종합운동장","Bucheon Stadium","50.3","","","ko699683",""
"19","춘의","Chunui","51.2","","","ko699684",""
"1a","신중동","Sinjung-dong","52.2","","","ko699686",""
"1b","부천시청","Bucheon City Hall","53.3","","","ko699695",""
"1c","상동","Sang-dong","54.2","","","ko699901",""
"1d","삼산체육관","Samsan Gymnasium","55.3","","","ko712738",""
"1e","굴포천","Gulpocheon","56.2","","","ko716948",""
"1f","부평구청","Bupyeong-gu Office","57.1","","","ko20571",""
"1g","산곡","Sangok","58.7","","","ko1437097",""
"1h","석남","Seoknam","61","","","ko1343121",""
