"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","암사","Amsa","0","","","ko19668",""
"02","천호","Cheonho","1.3","","","ko15899",""
"03","강동구청","Gangdong-gu Office","2.2","","","ko19667",""
"04","몽촌토성","Mongchontoseong","3.8","","","ko18785",""
"05","잠실","Jamsil","4.6","","","ko15064",""
"06","석촌","Seokchon","5.8","","","ko19784",""
"07","송파","Songpa","6.7","","","ko19787",""
"08","가락시장","Garak Market","7.5","","","ko15927",""
"09","문정","Munjeong","8.4","","","ko19788",""
"0a","장지","Jangji","9.3","","","ko19789",""
"0b","복정","Bokjeong","10.2","","","ko15830",""
"0c","산성","Sanseong","12.9","","","ko16014",""
"0d","남한산성입구","Namhansanseong","14.2","","","ko15929",""
"0e","단대오거리","Dandaeogeori","15","","","ko19790",""
"0f","신흥","Sinheung","15.8","","","ko70066",""
"0g","수진","Sujin","16.7","","","ko19669",""
"0h","모란","Moran","17.7","","","ko19666",""
